	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	16	71.5921	0	-0.00455473	2.82082	0.0788551	(112.249,17.9801,45.4233)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
146.45	91.7807	70.3873	0.260595	0.937939	-0.0264808	9.04201	Al
147.425	95.2908	70.2882	0.260595	0.937939	-0.0264808	9.02433	Al
148.764	100.112	70.1521	0.260595	0.937939	-0.0264808	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	2

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	26	136.38	0	-0.00452327	3.15341	0.0698652	(89.0138,8.39613,54.4594)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
1.19009	-3.79647	0	0.939693	0	0.34202	10	Al
20.2935	-3.79647	6.95307	0.916346	0.220408	0.354379	9.91108	Al
21.6808	-3.46279	7.48957	0.916346	0.220408	0.354379	9.90441	Al
23.0066	-3.14389	8.00232	0.916346	0.220408	0.354379	9.89803	Al
25.5574	-2.53036	8.98877	0.916346	0.220408	0.354379	9.88576	Al
26.5848	-2.28324	9.3861	0.916346	0.220408	0.354379	9.88082	Al
28.333	-1.86274	10.0622	0.916346	0.220408	0.354379	9.87239	Al
30.9173	-1.24114	11.0616	0.916346	0.220408	0.354379	9.85993	Al
41.207	1.23384	15.041	0.916346	0.220408	0.354379	9.81028	Al
41.3985	1.27989	15.115	0.847044	0.0912912	0.586962	9.80935	Al
55.4345	2.79264	24.8413	0.847044	0.0912912	0.586962	9.73579	Al
73.0404	4.69014	37.0414	0.847044	0.0912912	0.586962	9.64299	Al
73.3595	4.72452	37.2625	0.847044	0.0912912	0.586962	9.64129	Al
74.1538	4.81013	37.8129	0.847044	0.0912912	0.586962	9.63707	Al
87.4673	6.24501	47.0386	0.819032	0.220565	0.625574	9.56634	Al
95.273	8.34708	53.0005	0.733239	0.38987	0.67976	9.52321	Al
104.395	13.1974	61.4572	0.733239	0.38987	0.67976	9.46671	Al
111.126	16.7763	67.6973	0.733239	0.38987	0.67976	9.42484	Al
111.786	17.1273	68.3093	0.805251	0.0384652	0.727489	9.42071	Al
122.233	17.6263	77.7476	0.805251	0.0384652	0.727489	9.3613	Al
145.999	18.7616	99.2187	0.805251	0.0384652	0.727489	9.2255	Al
148.444	18.8784	101.427	0.805251	0.0384652	0.727489	9.21137	Al
154.77	19.1805	107.142	0.805251	0.0384652	0.727489	9.17478	Al
159.979	19.4293	111.848	0.805251	0.0384652	0.727489	9.14455	Al
174.879	20.1411	125.309	0.744855	0.132979	0.934871	9.05786	Al
178.864	20.8526	130.311	0.770129	-0.0473535	0.879959	9.03261	Al
184.175	20.526	136.38	0.770129	-0.0473535	0.879959	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	3

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	25	62.9144	0	-0.00452862	3.14586	0.108392	(86.0838,35.3657,38.1089)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
1.29486	4.12236	0	0.939693	0	0.34202	10	Al
1.8009	4.12236	0.184185	0.925968	0.0799221	0.195727	9.99764	Al
5.69191	4.4582	1.00665	0.925968	0.0799221	0.195727	9.97926	Al
14.3288	5.20366	2.83228	0.925968	0.0799221	0.195727	9.9384	Al
16.7811	5.41533	3.35064	0.925968	0.0799221	0.195727	9.92676	Al
24.4526	6.07747	4.97221	0.898175	0.183767	0.290029	9.89031	Al
29.0457	7.01722	6.45536	0.855736	0.150895	0.448205	9.86776	Al
39.2412	8.81503	11.7954	0.855736	0.150895	0.448205	9.81511	Al
48.3977	10.4296	16.5913	0.855736	0.150895	0.448205	9.76763	Al
59.1545	12.3264	22.2253	0.855736	0.150895	0.448205	9.71164	Al
62.7419	12.959	24.1043	0.766058	0.277408	0.622308	9.69289	Al
86.0541	21.4009	43.042	0.766058	0.277408	0.622308	9.55655	Al
91.1421	23.2434	47.1752	0.766058	0.277408	0.622308	9.52646	Al
102.332	27.2955	56.2652	0.766058	0.277408	0.622308	9.46015	Al
104.37	28.0335	57.9208	0.544312	0.734643	0.344527	9.448	Al
104.432	28.1171	57.96	0.544312	0.734643	0.344527	9.44748	Al
104.694	28.4712	58.1261	0.587114	0.787076	0.186294	9.44528	Al
111.452	37.5302	60.2702	0.624791	0.698785	0.277002	9.39268	Al
117.416	44.2004	62.9144	0.673968	0.789424	-0.094913	9.34887	Al
121.353	48.8129	62.3598	0.673968	0.789424	-0.094913	9.32196	Al
136.979	67.1153	60.1593	0.673968	0.789424	-0.094913	9.21493	Al
147.218	79.1086	58.7174	0.517236	0.874045	-0.0047464	9.14418	Al
147.747	80.0025	58.7125	0.517236	0.874045	-0.0047464	9.13938	Al
149.334	82.6837	58.6979	0.517236	0.874045	-0.0047464	9.12501	Al
162.761	105.373	58.5747	0.613699	0.82508	-0.394244	9.0032	Al
163.175	105.929	58.3089	0.613699	0.82508	-0.394244	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	4

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	21	70.5555	0	-0.00455379	3.18011	0.114395	(103.281,0.695468,36.1351)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-1.6543	-3.56011	0	0.939693	0	0.34202	10	Al
22.2996	-3.56011	8.7185	0.939693	0	0.34202	9.8885	Al
27.6472	-3.56011	10.6649	0.939693	0	0.34202	9.86339	Al
28.3157	-3.56011	10.9082	0.939693	0	0.34202	9.86025	Al
44.7205	-3.56011	16.8791	0.929009	-0.0976382	0.445589	9.78306	Al
53.5865	-4.49191	21.1315	0.833766	0.078187	0.0709042	9.7406	Al
55.4073	-4.32116	21.2864	0.833766	0.078187	0.0709042	9.73086	Al
66.2398	-3.30534	22.2076	0.833766	0.078187	0.0709042	9.67282	Al
66.4718	-3.28359	22.2273	0.792622	0.0686914	0.265787	9.67157	Al
81.5675	-1.97534	27.2893	0.792622	0.0686914	0.265787	9.5861	Al
113.004	0.749063	37.8308	0.792622	0.0686914	0.265787	9.40689	Al
118.916	1.2614	39.8132	0.792622	0.0686914	0.265787	9.3727	Al
119.584	1.31928	40.0371	0.792622	0.0686914	0.265787	9.36883	Al
121.661	1.49927	40.7336	0.792622	0.0686914	0.265787	9.35678	Al
137.666	2.8864	46.1008	0.792622	0.0686914	0.265787	9.26382	Al
138.886	2.99212	46.5098	0.792622	0.0686914	0.265787	9.25668	Al
145.779	3.58946	48.8211	0.792622	0.0686914	0.265787	9.21632	Al
146.824	3.68004	49.1716	0.792622	0.0686914	0.265787	9.21018	Al
169.22	5.62098	56.6817	0.757419	0.200984	0.365308	9.07854	Al
169.336	5.65167	56.7375	0.082965	0.243185	0.837244	9.07782	Al
170.108	7.91545	64.5313	0.21596	0.159005	0.838763	9.03396	Al
171.659	9.05748	70.5555	0.21596	0.159005	0.838763	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	5

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	18	75.4793	0	-0.0045157	3.29801	0	(97.2824,-1.46051,34.7549)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
1.79416	-1.46051	0	0.939693	0	0.34202	10	Al
3.60365	-1.46051	0.658603	0.939693	0	0.34202	9.99158	Al
4.03989	-1.46051	0.817381	0.939693	0	0.34202	9.98955	Al
39.6075	-1.46051	13.7629	0.939693	0	0.34202	9.82385	Al
44.5345	-1.46051	15.5562	0.939693	0	0.34202	9.8006	Al
44.8832	-1.46051	15.6831	0.939693	0	0.34202	9.79896	Al
50.5571	-1.46051	17.7482	0.939693	0	0.34202	9.77213	Al
62.729	-1.46051	22.1785	0.939693	0	0.34202	9.71446	Al
63.7727	-1.46051	22.5583	0.939693	0	0.34202	9.70949	Al
73.1388	-1.46051	25.9673	0.939693	0	0.34202	9.66489	Al
86.6582	-1.46051	30.888	0.939693	0	0.34202	9.60029	Al
110.04	-1.46051	39.3982	0.939693	0	0.34202	9.48799	Al
118.824	-1.46051	42.5954	0.939693	0	0.34202	9.44542	Al
142.046	-1.46051	51.0475	0.939693	0	0.34202	9.33248	Al
154.313	-1.46051	55.5124	0.939693	0	0.34202	9.27227	Al
156.592	-1.46051	56.3416	0.939693	0	0.34202	9.26103	Al
190.787	-1.46051	68.7876	0.939693	0	0.34202	9.0922	Al
195.785	-1.46051	70.6069	0.939693	0	0.34202	9.06717	Al
209.172	-1.46051	75.4793	0.939693	0	0.34202	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	6

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	21	133.568	0	-0.00453706	3.58965	0.134746	(58.2265,51.8334,64.4256)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.0681422	-1.74724	0	0.939693	0	0.34202	10	Al
4.19387	-1.74724	1.50164	0.924189	-0.159013	0.255318	9.9808	Al
5.51544	-1.97462	1.86674	0.884193	-0.168611	0.0949839	9.97453	Al
7.65822	-2.38324	2.09693	0.884193	-0.168611	0.0949839	9.96391	Al
21.4753	-5.01808	3.58122	0.508433	0.653057	0.604295	9.89537	Al
32.4981	9.14018	16.6823	0.467953	0.507648	0.753495	9.79977	Al
34.2523	11.0432	19.5069	0.467953	0.507648	0.753495	9.78311	Al
38.6097	15.7702	26.5232	0.316569	0.643597	0.725459	9.74169	Al
40.7631	20.1482	31.4581	0.316569	0.643597	0.725459	9.71133	Al
44.9655	28.6918	41.0883	0.316569	0.643597	0.725459	9.65195	Al
55.8198	50.7589	65.9623	0.316569	0.643597	0.725459	9.49783	Al
57.2484	53.6634	69.2361	0.316569	0.643597	0.725459	9.4773	Al
61.0319	61.3554	77.9065	0.581549	0.5879	0.589929	9.42282	Al
71.9261	72.3685	88.9577	0.581549	0.5879	0.589929	9.33705	Al
74.2966	74.765	91.3624	0.581549	0.5879	0.589929	9.31826	Al
82.3362	82.8924	99.5178	0.581549	0.5879	0.589929	9.25442	Al
90.1154	90.7565	107.409	0.581549	0.5879	0.589929	9.19232	Al
96.2132	96.9209	113.595	0.581549	0.5879	0.589929	9.1434	Al
97.7297	98.4539	115.133	0.250178	0.726876	0.661407	9.13118	Al
99.8423	104.592	120.718	0.250178	0.726876	0.661407	9.09158	Al
101.563	109.591	125.267	0.250178	0.726876	0.661407	9.05921	Al
104.703	118.713	133.568	0.250178	0.726876	0.661407	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	7

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	21	27.6229	0	-0.00455258	3.63059	0.0767192	(108.766,-4.80268,21.8173)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-0.850047	3.02092	0	0.939693	0	0.34202	10	Al
10.9469	3.02092	4.29373	0.939693	0	0.34202	9.94509	Al
32.8534	3.02092	12.2671	0.926573	-0.164597	0.313543	9.84269	Al
41.9128	1.41159	15.3327	0.926573	-0.164597	0.313543	9.79939	Al
43.659	1.10139	15.9236	0.926573	-0.164597	0.313543	9.79102	Al
52.1474	-0.406497	18.796	0.916976	0.0220798	0.193653	9.75029	Al
56.9226	-0.291516	19.8044	0.916976	0.0220798	0.193653	9.72707	Al
67.2296	-0.0433334	21.9811	0.911849	-0.0615357	0.0824518	9.67685	Al
86.3248	-1.33196	23.7078	0.911849	-0.0615357	0.0824518	9.58291	Al
87.7442	-1.42775	23.8361	0.911849	-0.0615357	0.0824518	9.57587	Al
94.1307	-1.85874	24.4136	0.896628	0.120809	-0.0192251	9.5442	Al
104.274	-0.492077	24.1961	0.896628	0.120809	-0.0192251	9.49291	Al
106.182	-0.23497	24.1552	0.896628	0.120809	-0.0192251	9.48322	Al
123.873	2.14868	23.7759	0.860099	-0.138574	0.1573	9.39333	Al
144.908	-1.24037	27.6229	0.758915	-0.331799	-0.0456317	9.28109	Al
160.664	-8.12854	26.6756	0.758915	-0.331799	-0.0456317	9.18493	Al
166.734	-10.7827	26.3106	0.758915	-0.331799	-0.0456317	9.14758	Al
170.389	-12.3804	26.0908	0.758915	-0.331799	-0.0456317	9.12503	Al
170.731	-12.5299	26.0703	0.758915	-0.331799	-0.0456317	9.12291	Al
183.251	-18.0037	25.3175	0.695066	-0.35018	-0.166495	9.04549	Al
189.263	-21.0328	23.8773	0.695066	-0.35018	-0.166495	9.00463	Al
189.941	-21.3745	23.7148	0.695066	-0.35018	-0.166495	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	8

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	16	75.1108	0	-0.00454421	3.49663	0.149002	(109.802,-12.3286,35.4332)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-0.440974	5.06521	0	0.939693	0	0.34202	10	Al
6.695	5.06521	2.59728	0.939693	0	0.34202	9.96678	Al
28.7344	5.06521	10.619	0.939693	0	0.34202	9.86393	Al
30.705	5.06521	11.3362	0.911351	-0.236126	0.274879	9.85466	Al
39.3008	2.8381	13.9288	0.852495	-0.313623	0.148029	9.81294	Al
49.1416	-0.782221	15.6376	0.852495	-0.313623	0.148029	9.76171	Al
64.6455	-6.48593	18.3298	0.852495	-0.313623	0.148029	9.68067	Al
69.4464	-8.25211	19.1634	0.908323	-0.207685	0.234561	9.65542	Al
111.217	-17.8029	29.9501	0.908323	-0.207685	0.234561	9.44877	Al
115.604	-18.8059	31.0829	0.908323	-0.207685	0.234561	9.42671	Al
130.86	-22.2941	35.0225	0.828859	-0.421203	0.198617	9.34984	Al
135.104	-24.4507	36.0394	1.01441	0.0319602	0.532009	9.32625	Al
183.599	-22.9228	61.4732	1.01441	0.0319602	0.532009	9.10564	Al
185.5	-22.8629	62.4697	1.0015	-0.0577069	0.6515	9.09684	Al
195.964	-23.4659	69.2771	1.0015	-0.0577069	0.6515	9.04769	Al
204.598	-23.9634	74.8939	0.760889	0.51711	0.147515	9.00697	Al
205.717	-23.2028	75.1108	0.760889	0.51711	0.147515	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	9

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
yes	no	yes	yes	12	5.39699	0	-0.00445312	3.44013	0.159347	(39.9773,-25.0271,1.39184)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-3.88229	6.47553	0	0.939693	0	0.34202	10	Al
2.29204	6.47553	2.24727	0.939693	0	0.34202	9.97126	Al
8.58177	6.47553	4.53655	0.939693	0	0.34202	9.94192	Al
10.9458	6.47553	5.39699	0.62924	-0.693922	-0.0197328	9.93086	Al
27.7343	-12.0387	4.87051	0.62924	-0.693922	-0.0197328	9.81354	Al
28.7698	-13.1807	4.83803	0.62924	-0.693922	-0.0197328	9.80623	Al
35.9845	-21.1369	4.61178	0.62924	-0.693922	-0.0197328	9.75532	Al
53.3323	-40.268	4.06776	0.62924	-0.693922	-0.0197328	9.63241	Al
56.1759	-43.4039	3.97859	0.62924	-0.693922	-0.0197328	9.61207	Al
57.5512	-44.9205	3.93546	0.374831	-0.301222	-0.602252	9.60221	Al
57.8783	-45.1834	3.40987	0.463878	-0.173604	-0.600565	9.59828	Al
58.0223	-45.2373	3.22336	0.463878	-0.173604	-0.600565	9.59687	Al
82.4592	-54.3827	-28.4142	0.463878	-0.173604	-0.600565	9.35905	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	10

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	23	42.8601	0	-0.00452338	3.18501	0.0737217	(94.9089,-10.5682,24.821)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-1.17847	-2.13111	0	0.939693	0	0.34202	10	Al
-0.758627	-2.13111	0.152809	0.939693	0	0.34202	9.99805	Al
5.99828	-2.13111	2.61212	0.939693	0	0.34202	9.96659	Al
11.1212	-2.13111	4.47672	0.939693	0	0.34202	9.94268	Al
11.3555	-2.13111	4.56198	0.939693	0	0.34202	9.94159	Al
40.8906	-2.13111	15.3119	0.865712	0.214702	0.619823	9.80349	Al
42.1557	-1.81736	16.2177	0.902067	0.147599	0.5039	9.797	Al
43.1974	-1.64691	16.7995	0.927412	-0.0126099	0.378333	9.79186	Al
45.125	-1.67312	17.5859	0.927412	-0.0126099	0.378333	9.78263	Al
52.7672	-1.77703	20.7035	0.908124	0.189731	0.45589	9.74597	Al
56.589	-0.978578	22.6221	0.934591	-0.134041	0.125777	9.72719	Al
59.3958	-1.38114	22.9998	0.934591	-0.134041	0.125777	9.71377	Al
90.1426	-5.79091	27.1377	0.934591	-0.134041	0.125777	9.56662	Al
116.216	-9.53046	30.6467	0.934591	-0.134041	0.125777	9.44037	Al
132.927	-11.9272	32.8957	0.934591	-0.134041	0.125777	9.35862	Al
134.189	-12.1082	33.0655	0.934591	-0.134041	0.125777	9.3524	Al
134.896	-12.2096	33.1607	0.899228	-0.295051	0.129551	9.34892	Al
145.257	-15.6091	34.6534	0.899228	-0.295051	0.129551	9.29585	Al
149.732	-17.0773	35.298	0.899228	-0.295051	0.129551	9.27283	Al
161.577	-20.9639	37.0045	0.899228	-0.295051	0.129551	9.21178	Al
165.73	-22.3265	37.6028	0.899228	-0.295051	0.129551	9.19026	Al
183.375	-28.1161	40.1449	0.899228	-0.295051	0.129551	9.09869	Al
198.806	-33.1794	42.3681	0.899228	-0.295051	0.129551	9.01798	Al
202.221	-34.2999	42.8601	0.899228	-0.295051	0.129551	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	11

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	15	91.4406	0	-0.00458995	2.92034	0.0247217	(137.541,4.09688,59.7722)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-1.03826	1.58099	0	0.939693	0	0.34202	10	Al
9.57424	1.58099	3.86263	0.939693	0	0.34202	9.9506	Al
44.4465	1.58099	16.5551	0.939693	0	0.34202	9.78766	Al
78.3153	1.58099	28.8823	0.929427	-0.00325768	0.476767	9.62738	Al
100.823	1.5021	40.4279	0.929427	-0.00325768	0.476767	9.51832	Al
128.624	1.40465	54.6893	0.929427	-0.00325768	0.476767	9.38243	Al
132.723	1.39029	56.7916	0.929427	-0.00325768	0.476767	9.36217	Al
138.17	1.37119	59.5858	0.929427	-0.00325768	0.476767	9.33521	Al
149.93	1.32997	65.6185	0.929427	-0.00325768	0.476767	9.27686	Al
155.122	1.31178	68.2817	0.911792	0.18985	0.431874	9.25097	Al
171.463	4.71434	76.0219	0.911792	0.18985	0.431874	9.16775	Al
176.554	5.77435	78.4332	0.911792	0.18985	0.431874	9.14165	Al
183.128	7.1432	81.5471	0.911792	0.18985	0.431874	9.10786	Al
187.624	8.0793	83.6766	0.911792	0.18985	0.431874	9.08469	Al
202.597	11.1968	90.7683	0.911792	0.18985	0.431874	9.00738	Al
204.016	11.4923	91.4406	0.911792	0.18985	0.431874	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	12

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	24	68.968	0	-0.00455208	2.61794	0.0245171	(112.532,-7.72276,34.9237)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.00506109	0.76665	0	0.939693	0	0.34202	10	Al
12.0108	0.76665	4.36972	0.939693	0	0.34202	9.94412	Al
28.6292	0.76665	10.4183	0.928414	-0.109178	0.235231	9.86643	Al
30.7752	0.514293	10.9621	0.928414	-0.109178	0.235231	9.85621	Al
53.0648	-2.10688	16.6095	0.928414	-0.109178	0.235231	9.75002	Al
54.3763	-2.2611	16.9418	0.928414	-0.109178	0.235231	9.74372	Al
69.3578	-4.02287	20.7377	0.928414	-0.109178	0.235231	9.67172	Al
69.5682	-4.04761	20.791	0.928414	-0.109178	0.235231	9.6707	Al
79.1929	-5.17943	23.2296	0.928414	-0.109178	0.235231	9.62417	Al
89.1779	-6.35363	25.7595	0.928414	-0.109178	0.235231	9.57572	Al
96.6927	-7.23733	27.6635	0.928414	-0.109178	0.235231	9.53912	Al
101.485	-7.80094	28.8778	0.928414	-0.109178	0.235231	9.51571	Al
110.724	-8.88733	31.2185	0.928414	-0.109178	0.235231	9.47049	Al
125.616	-10.6386	34.9918	0.928414	-0.109178	0.235231	9.39733	Al
127.626	-10.8749	35.501	0.929274	-0.0524499	0.468484	9.3874	Al
138.55	-11.4915	41.0081	0.929274	-0.0524499	0.468484	9.33342	Al
140.48	-11.6005	41.9813	0.929274	-0.0524499	0.468484	9.32384	Al
143.123	-11.7496	43.3135	0.929274	-0.0524499	0.468484	9.31072	Al
155.038	-12.4222	49.3207	0.929274	-0.0524499	0.468484	9.25147	Al
157.702	-12.5725	50.6637	0.918881	0.0335717	0.359456	9.23816	Al
173.308	-12.0024	56.7685	0.918881	0.0335717	0.359456	9.15922	Al
178.568	-11.8102	58.826	0.918881	0.0335717	0.359456	9.13243	Al
180.35	-11.7451	59.5232	0.918881	0.0335717	0.359456	9.12334	Al
180.866	-11.7262	59.7249	0.918881	0.0335717	0.359456	9.1207	Al
204.494	-10.863	68.968	0.918881	0.0335717	0.359456	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	13

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	20	49.0409	0	-0.00455441	3.69879	0.0301341	(115.087,3.32034,36.4609)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-0.11605	-3.21151	0	0.939693	0	0.34202	10	Al
34.5202	-3.21151	12.6066	0.939693	0	0.34202	9.83878	Al
37.0267	-3.21151	13.5188	0.939693	0	0.34202	9.82696	Al
53.0013	-3.21151	19.3331	0.939693	0	0.34202	9.7516	Al
59.5074	-3.21151	21.7012	0.939693	0	0.34202	9.72072	Al
66.7161	-3.21151	24.3249	0.939693	0	0.34202	9.68643	Al
76.9161	-3.21151	28.0374	0.939693	0	0.34202	9.63777	Al
80.1629	-3.21151	29.2192	0.939693	0	0.34202	9.62223	Al
86.9927	-3.21151	31.705	0.939693	0	0.34202	9.58948	Al
93.0331	-3.21151	33.9035	0.939693	0	0.34202	9.56044	Al
97.1169	-3.21151	35.3899	0.939693	0	0.34202	9.54077	Al
122.388	-3.21151	44.588	0.898886	0.194242	0.122936	9.41881	Al
129.644	-1.6436	45.5803	0.898886	0.194242	0.122936	9.38184	Al
143.712	1.39629	47.5042	0.898886	0.194242	0.122936	9.30995	Al
150.077	2.77167	48.3747	0.898886	0.194242	0.122936	9.27723	Al
152.763	3.35209	48.7421	0.836442	0.428618	0.00530576	9.26338	Al
162.731	8.4604	48.8053	0.836442	0.428618	0.00530576	9.2081	Al
173	13.7223	48.8705	0.836442	0.428618	0.00530576	9.15089	Al
182.812	18.7502	48.9327	0.836442	0.428618	0.00530576	9.09596	Al
199.75	27.43	49.0401	0.836442	0.428618	0.00530576	9.00071	Al
199.875	27.4941	49.0409	0.836442	0.428618	0.00530576	9	Al
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	14

